Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:36 Mem:140.55M (Peak 140.55M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_A
Fra:36 Mem:141.30M (Peak 141.88M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_B
Fra:36 Mem:142.07M (Peak 142.65M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_C
Fra:36 Mem:142.84M (Peak 143.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_A
Fra:36 Mem:142.86M (Peak 143.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_B
Fra:36 Mem:142.88M (Peak 143.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_C
Fra:36 Mem:142.90M (Peak 143.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FALLEN_LOG_HERO
Fra:36 Mem:143.31M (Peak 143.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_A
Fra:36 Mem:143.71M (Peak 143.71M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_B
Fra:36 Mem:144.22M (Peak 144.22M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_C
Fra:36 Mem:145.16M (Peak 145.16M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MOSS_PATCH_A
Fra:36 Mem:145.18M (Peak 145.18M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MOSS_PATCH_B
Fra:36 Mem:145.20M (Peak 145.20M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_A
Fra:36 Mem:145.20M (Peak 145.20M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_B
Fra:36 Mem:145.20M (Peak 145.20M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_C
Fra:36 Mem:145.21M (Peak 145.21M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROCK_SMALL
Fra:36 Mem:145.22M (Peak 145.22M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BACKGROUND_TREE
Fra:36 Mem:145.78M (Peak 145.78M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_ground
Fra:36 Mem:147.09M (Peak 147.11M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_hero_tree
Fra:36 Mem:147.85M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_0
Fra:36 Mem:148.18M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_1
Fra:36 Mem:148.20M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_2
Fra:36 Mem:148.21M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_3
Fra:36 Mem:148.23M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_4
Fra:36 Mem:148.24M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_5
Fra:36 Mem:148.25M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fallen_log
Fra:36 Mem:148.33M (Peak 148.44M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_0
Fra:36 Mem:149.09M (Peak 149.66M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_1
Fra:36 Mem:149.85M (Peak 150.42M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_2
Fra:36 Mem:150.61M (Peak 150.99M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_3
Fra:36 Mem:151.06M (Peak 151.65M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_4
Fra:36 Mem:151.84M (Peak 152.41M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_5
Fra:36 Mem:152.60M (Peak 153.17M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_0
Fra:36 Mem:153.48M (Peak 153.48M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_1
Fra:36 Mem:154.06M (Peak 154.06M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_2
Fra:36 Mem:154.94M (Peak 154.94M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_3
Fra:36 Mem:155.52M (Peak 155.52M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_4
Fra:36 Mem:156.40M (Peak 156.40M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_5
Fra:36 Mem:156.98M (Peak 156.98M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_6
Fra:36 Mem:157.86M (Peak 157.86M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_7
Fra:36 Mem:158.42M (Peak 158.42M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_8
Fra:36 Mem:159.32M (Peak 159.32M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_9
Fra:36 Mem:159.90M (Peak 159.90M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_10
Fra:36 Mem:160.78M (Peak 160.78M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_11
Fra:36 Mem:161.36M (Peak 161.36M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_12
Fra:36 Mem:162.24M (Peak 162.24M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_13
Fra:36 Mem:162.80M (Peak 162.80M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_14
Fra:36 Mem:163.70M (Peak 163.70M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_15
Fra:36 Mem:164.26M (Peak 164.26M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_16
Fra:36 Mem:165.14M (Peak 165.14M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_17
