Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:139.84M (Peak 139.84M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_fender_L
Fra:590 Mem:139.85M (Peak 139.85M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_track_plates_R
Fra:590 Mem:139.90M (Peak 139.90M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_0
Fra:590 Mem:139.90M (Peak 139.90M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_1
Fra:590 Mem:139.91M (Peak 139.91M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_2
Fra:590 Mem:139.92M (Peak 139.92M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_3
Fra:590 Mem:139.93M (Peak 139.93M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_4
Fra:590 Mem:139.94M (Peak 139.94M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_fender_R
Fra:590 Mem:139.94M (Peak 139.94M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_A
Fra:590 Mem:141.30M (Peak 141.87M) | Time:00:00.36 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_B
Fra:590 Mem:141.77M (Peak 142.34M) | Time:00:00.36 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TREE_TRUNK_C
Fra:590 Mem:142.23M (Peak 142.80M) | Time:00:00.36 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_A
Fra:590 Mem:142.25M (Peak 142.80M) | Time:00:00.36 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_B
Fra:590 Mem:142.27M (Peak 142.80M) | Time:00:00.36 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROOT_C
Fra:590 Mem:142.30M (Peak 142.80M) | Time:00:00.37 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FALLEN_LOG_HERO
Fra:590 Mem:142.41M (Peak 142.80M) | Time:00:00.37 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_A
Fra:590 Mem:142.81M (Peak 142.81M) | Time:00:00.37 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_B
Fra:590 Mem:143.33M (Peak 143.33M) | Time:00:00.37 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FERN_C
Fra:590 Mem:144.86M (Peak 144.86M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MOSS_PATCH_A
Fra:590 Mem:144.87M (Peak 144.87M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MOSS_PATCH_B
Fra:590 Mem:144.89M (Peak 144.89M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_A
Fra:590 Mem:144.89M (Peak 144.89M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_B
Fra:590 Mem:144.90M (Peak 144.90M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GROUND_LEAF_C
Fra:590 Mem:144.90M (Peak 144.90M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ROCK_SMALL
Fra:590 Mem:144.91M (Peak 144.91M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BACKGROUND_TREE
Fra:590 Mem:145.49M (Peak 145.49M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_ground
Fra:590 Mem:146.51M (Peak 146.51M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_hero_tree
Fra:590 Mem:146.97M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_0
Fra:590 Mem:146.99M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_1
Fra:590 Mem:147.00M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_2
Fra:590 Mem:147.01M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_3
Fra:590 Mem:147.03M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_4
Fra:590 Mem:147.04M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_root_5
Fra:590 Mem:147.06M (Peak 147.54M) | Time:00:00.38 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fallen_log
Fra:590 Mem:148.32M (Peak 148.32M) | Time:00:00.39 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_0
Fra:590 Mem:148.78M (Peak 149.35M) | Time:00:00.39 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_1
Fra:590 Mem:149.25M (Peak 149.82M) | Time:00:00.39 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_2
Fra:590 Mem:149.71M (Peak 150.28M) | Time:00:00.40 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_3
Fra:590 Mem:151.07M (Peak 151.07M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_4
Fra:590 Mem:151.53M (Peak 152.10M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_midtree_5
Fra:590 Mem:152.00M (Peak 152.57M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_0
Fra:590 Mem:152.58M (Peak 152.58M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_1
Fra:590 Mem:153.16M (Peak 153.16M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_2
Fra:590 Mem:153.74M (Peak 153.74M) | Time:00:00.41 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_3
Fra:590 Mem:155.51M (Peak 155.51M) | Time:00:00.42 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_4
Fra:590 Mem:156.09M (Peak 156.09M) | Time:00:00.42 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_5
Fra:590 Mem:156.67M (Peak 156.67M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_6
Fra:590 Mem:157.26M (Peak 157.26M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_7
Fra:590 Mem:157.84M (Peak 157.84M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_8
Fra:590 Mem:158.42M (Peak 158.42M) | Time:00:00.43 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_9
Fra:590 Mem:160.19M (Peak 160.19M) | Time:00:00.44 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_10
Fra:590 Mem:160.77M (Peak 160.77M) | Time:00:00.44 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_11
Fra:590 Mem:161.35M (Peak 161.35M) | Time:00:00.44 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_12
Fra:590 Mem:161.93M (Peak 161.93M) | Time:00:00.44 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_13
Fra:590 Mem:163.40M (Peak 163.40M) | Time:00:00.45 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_14
Fra:590 Mem:163.98M (Peak 163.98M) | Time:00:00.45 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_15
Fra:590 Mem:164.57M (Peak 164.57M) | Time:00:00.45 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_16
Fra:590 Mem:166.02M (Peak 166.02M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_17
Fra:590 Mem:166.60M (Peak 166.60M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_18
Fra:590 Mem:167.18M (Peak 167.18M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_19
Fra:590 Mem:167.77M (Peak 167.77M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_20
Fra:590 Mem:169.55M (Peak 169.55M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_21
